ID,Ime,TrznaVrednost,Starost,Visina,Drzavljanstvo,MocnejsaNoga,Liga
2857,Eldin Jakupovic,0.3,36,191,Switzerland,right,GB1
3333,James Milner,3.0,35,175,England,right,GB1
3455,Zlatan Ibrahimovic,4.0,39,195,Sweden,both,IT1
5578,Nicolas Penneteau,0.2,40,185,France,left,FR1
6442,Antonio Rosati,0.1,38,195,Italy,right,IT1
7093,Francesco Magnanelli,0.4,36,181,Italy,right,IT1
7161,Jonas Hofmann,16.0,29,176,Germany,right,L1
7663,Joaquín,1.5,40,181,Spain,right,ES1
7825,Pepe Reina,0.8,38,188,Spain,right,IT1
8176,Oier Olazábal,0.3,31,189,Spain,left,ES1
8198,Cristiano Ronaldo,45.0,36,187,Portugal,right,IT1
8246,Philipp Pentke,0.3,36,191,Germany,right,L1
8806,Cesc Fàbregas,5.0,34,178,Spain,right,FR1
12359,Niki Mäenpää,0.2,36,191,Finland,right,IT1
12563,Goran Pandev,0.5,38,184,North Macedonia,left,IT1
12907,Alessio Cragno,20.0,27,184,Italy,right,IT1
13460,Lee Grant,0.25,38,193,England,right,GB1
13572,Ben Foster,0.3,38,193,England,left,GB1
14044,Andy Lonergan,0.25,37,193,England,left,GB1
14086,Ashley Young,1.0,36,175,England,both,GB1
14555,Scott Carson,0.3,35,188,England,right,GB1
15452,Raúl Albiol,2.5,35,190,Spain,right,ES1
15773,Phil Bardsley,0.3,36,180,Scotland,right,GB1
15930,David Martin,0.25,35,188,England,right,GB1
15956,Jesús Navas,3.0,35,172,Spain,right,ES1
16136,Dante,1.0,37,189,Brazil,left,FR1
16306,Casemiro,70.0,29,185,Brazil,right,ES1
16408,Orestis Karnezis,0.5,36,190,Greece,right,FR1
16633,Alex Cordaz,0.5,38,188,Italy,right,IT1
16911,Kasper Schmeichel,6.0,34,189,Denmark,right,GB1
16922,Kevin-Prince Boateng,2.0,34,186,Ghana,right,L1
17259,Manuel Neuer,18.0,35,193,Germany,right,L1
17965,Hugo Lloris,9.0,34,188,France,left,GB1
18644,Álvaro Negredo,1.2,36,186,Spain,left,ES1
18909,Jimmy Briand,1.1,36,183,France,right,FR1
18922,Karim Benzema,25.0,33,184,France,both,ES1
18934,Thomas Mangani,1.0,34,183,France,left,FR1
18944,Gerard Piqué,10.0,34,194,Spain,right,ES1
